Текст_отзыва,sentiment,emotions,topics,quality,summary
"Redmi Смартфон Note 14 8/128GB Ростест (EAC) 8/128 ГБ, черный || Сложно сказать что то новое о телефоне на который уже выпущены десятки обзоров, поэтому просто поделюсь своими впечатлениями.
Из положительных:
1 Есть разъём под наушники
2 отличные снимки для своей ценовой категории и есть макрокамера
3 зарядка очень шустрая
4 чехол и защитное стекло в комплекте 
5 датчик отпечатка пальца встроен в дисплей
6 Есть ИК... || Телефон отличный ,пришел быстро,за 2 дня,коробка целая,пленка тонкая наклеена, чехол - в комплекте.
Камера за свои деньги имеет адекватное качество. 
Цвет очень приятный вживую лучше ,чем в карточке товара.
В общем и целом думаю будет нормально,до этого 3 года ходил с ноут11 - всё устраивало.",positive,"['удовлетворён', 'впечатлён', 'довольный']","['камера', 'скорость зарядки', 'разъём под наушники', 'чехол и стекло в комплекте', 'сенсорный датчик отпечатков пальцев', 'дизайн цвета']",9.0,"Пользователь доволен покупкой Redmi Note 14, отмечая отличное качество камеры, скорость зарядки, наличие разъёма под наушники, приятные впечатления от дизайна цвета телефона."
"Tecno Смартфон POVA 7 5G Ростест (EAC) 8/128 ГБ, серебристый || Очень хороший телефон! Цвет просто вау) камера отличная и большой яркий экран. Зарядку держит долго и хорошо. || Первое впечатление хорошее. Посмотрим в деле",positive,"['вау', 'хорошее впечателение']","['качество камеры', 'яркий экран', 'долговечность зарядки', 'цвет телефона']",9.0,"Отличный смартфон с хорошей камерой, ярким экраном, долгим зарядом батареи и приятным цветом."
"vivo Смартфон Y04s Ростест (EAC) 4/256 ГБ, зеленый || Прекрасный смартфон - недорогой и качественный... Легко запустился, быстро установил все необходимые приложения, причем помогал интеллектуальный помощник, рекомендовал иные приложения, с чем-то соглашался, с чем-то нет... Предложил скачать всё со старого смартфона... Баиарея действительно хрошая... Теоефон очень мне понравился, я им доволен, теперь... || купила телефон мужу он довольный пришло 27 ноября посмотрим как послужит дальше добавлю если какие-то будут недочёты в телефоне а вообще всё устраивает громкая мелодия всё своё уже закачали Так что пока всё устраивает спасибо большое",positive,"['довольство', 'благодарность']","['качество_телефона', 'работоспособность', 'удобство_использования', 'функционал_интеллектуального_помощника', 'совместимость', 'громкость_звонков', 'внешний_вид_(цвет)']",9.0,"Пользователь остался доволен смартфоном vivo Y04s: легко запускается, качественно выполнен, понравился внешний вид и функциональность интеллектуального помощника."
"Redmi Смартфон Redmi Note 14 Pro+ NFC Smartphone 6200mAh Battery Russian OS Google Family,Новейшая серия Redmi CN 16/512 ГБ, черный || все понравилось, пришло раньше срока, хорошо запаковано. заряд держит второй день. фото нормальные памяти много. спасибо || Я в восторге.Все настроила прекрасно работает! Всё пришло в отличном состоянии.Спасибо продавцу!",positive,"['восхищение', 'благодарность', 'удовлетворенность']","['качество упаковки', 'продолжительность заряда батареи', 'фотографии и память устройства', 'опоздание доставки (позитивно)', 'работоспособность смартфона после настройки']",9.0,"Пользователь доволен качеством товара, быстрой доставкой, отличным состоянием упаковки и работой смартфона."
"realme Смартфон Note 60X Ростест (EAC) 3/64 ГБ, зеленый || Ожидал полный шлак, но пришел вполне нормальный телефон, как за свою цену, конечно. Выполняет задачу, под которую приобретен. Подтормаживает, бывает, не критично. Матрица так себе: в солнцезащитных поляризационных очках, если держать его как обычно, вертикально, дисплей темнеет наглухо, повернуть и норм, первый раз такое вижу, обычно наоборот бывает... || Отличный товар , купил Отцу взамен старого . Его устраивает вполне",neutral-positive,"['удовлетворение', 'ожидание-не-подвело']","['качество-соответствие-цене', 'подтормаживания', 'дисплей', 'удобство-для-отца']",7.0,"Нормальный смартфон по цене, соответствует ожиданиям отца, однако экран ведет себя необычно."
"Tecno Смартфон SPARK 40 Ростест (EAC) 8/256 ГБ, серебристый || С первого взгляда хороший телефон,посмотрим как будет себя вести) брали в подарок) || Хороший телефон. Купил в подарок. Доставка быстрая,в комплекте бампер хорошего качества. На экране уже наклеена гидрогелевая защитная плёнка. Заявленным характеристикам всё соответствует.",positive,['довольство'],"['доставка', 'качество упаковки', 'функциональность телефона', 'характеристики соответствия']",9.0,"Хороший смартфон с быстрой доставкой, качественной упаковкой и соответствием заявленным характеристикам."
"HUAWEI Смартфон nova 14 Pro 12ГБ + 512ГБ Белый Ростест (EAC) 12/512 ГБ, белый || Начну немного издалека.
Уже не в том возрасте, чтобы захватывало дух из-за нового телефона. От него нужно просто чтобы: - ну и далее по списку. Сидел года 4 на Huawei P30 pro - просто из-за того, что нужен был android auto, другие - более свежие - телефоны huawei его не позволяли, а это - мог. Но будучи в очередной раз в одном из магазинов техники узнал... || Отличный сервис. Все пришло вовремя. Гаджет полностью соответствует всем заявленным характеристикам.",positive,['довольство'],"['качество_сервиса', 'соответствие_характеристикам', 'смартфон_huawei_nova_14_pro']",9.0,Покупатель доволен сервисом доставки и соответствием характеристик смартфона HUAWEI Nova 14 Pro заявленным параметрам.
"Honor Смартфон HONOR Magic7 Ростест (EAC) 12/256 ГБ, серый || Все отлично. Пришел запечатанный, зовнилка от гугла, запись звонков с уведомлением, аккум был заряжен на 40%. Обновился до мейджик 10 в ручную. Уведомление о новой ОС почему-то не пришло. А так все норм. || Телефон пришёл запечатанный. Новый ,оригинальный! пока всё нравится! Спасибо продавцу! рекомендую!",positive,"['довольство', 'благодарность']","['упаковка и состояние телефона', 'функционал смартфона', 'обновления системы']",9.0,"Положительный отзыв о смартфоне Honor Magic7, который пришел запечатанным, новым и оригинальным. Пользователь доволен функционалом и обновлением до версии 10, но отмечает отсутствие уведомления о новой операционной системе."
"Восстановленный Apple Смартфон iPhone 7 Plus 128 ГБ || Пользователь предпочёл скрыть свои данные || Вообще телефон прикольный,были проблемы с входом на аккаунт но там всего надо поменять кое что ,сам по себе он очень красивый и мне достался красного цвета,всё совпало ,немного греется в обычных задачах но это вполне нормально для телефона которому практически 10 лет ,что расстроило это очень долгая доставка ,ну ещё и чехол д***** полное но это пофиг...",positive,"['довольство', 'раздражение']","['качество товара', 'проблема доставки', 'дизайн устройства', 'неисправность аккаунта']",8.0,"Пользователь доволен внешним видом смартфона, жалуется на долгую доставку и проблемы входа в аккаунт, качество удовлетворительное."
"Apple Смартфон iPhone 16 Plus EU 8/128 ГБ, розовый || Доехал быстро, доставка была с 4-го по 10-тое декабря 
Приехал 4-го 
Минус один коробка немного грязная ,но в глаза не бросается 
Сразу пришлось установить 26-той iOS 
Работает отлично ,серийный номер пробивается 
Спасибо ❤️
Позже дополню || Перешла с айфона 13 на этот, радости нет предела , очень благодарна продавцу, оригинал , все супер , не добавить , не прибавить , все на высшем уровне!",positive,"['радость', 'благодарность', 'восторг']","['качество товара', 'доставка', 'работоспособность устройства', 'коробка', 'операционная система']",10.0,"Пользователь получил товар быстро, доволен работой смартфона, оригинальной коробкой и качеством обслуживания продавца."
